Comment,Designator,Footprint,LCSC
"10u","C1","Capacitor_SMD:CP_Elec_4x5.4","C4747968"
"100n","C2,C3,C4,C5,C6","Capacitor_SMD:C_0402_1005Metric","C1525"
"~","CONN1","Igor:CONN_SM10B-SRSS-TB_JST","C160409"
"10k","R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48,R49,R50,R51,R52,R53,R54,R55,R56,R57,R58,R59,R60,R61,R62,R63,R64","Igor:PTV09A-4025F-B103","C7262626"
"MC14067BDWR2G-SO24W","U1,U2,U3,U4","Package_SO:SOIC-24W_7.5x15.4mm_P1.27mm","C555478"
