Comment,Designator,Footprint,LCSC
"10u","C5","Capacitor_SMD:CP_Elec_4x5.4","C4747968"
"100n","C1,C2,C3,C4,C6,C7,C8,C9","Capacitor_SMD:C_0402_1005Metric","C1525"
"~","CONN1","Igor:CONN_SM10B-SRSS-TB_JST","C160409"
"4k7","R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R27,R28,R29,R30,R31,R32,R33","Resistor_SMD:R_0603_1608Metric","C99782"
"10k","R26","Resistor_SMD:R_0402_1005Metric","C25744"
"~","SW1,SW2,SW3,SW4,SW5,SW6,SW7,SW8,SW9,SW10,SW11,SW12,SW13,SW14,SW15,SW16,SW17,SW18,SW19,SW20,SW21,SW22,SW23,SW24,SW25,SW26,SW27,SW28,SW29,SW30,SW31,SW32","Igor:Omron-B3W-9","C5571664"
"74HC165","U1,U2,U3,U4","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","C5613"
"MAX7219","U5","Package_SO:SOIC-24W_7.5x15.4mm_P1.27mm","C9964"
"74HCT125","U6,U9","Package_SO:TSSOP-14_4.4x5mm_P0.65mm","C36365"
